,card_id,field_id,date_collected,total_scm,scm_male,scm_female,season_total,male_total,female_total,weekly_prop,weekly_prop_f,weekly_prop_m,season_prop,week,year
2153,2300.0,GAB_ALL,2023-04-24,41.0,28.0,13.0,1143.0,822.0,321.0,0.03587051618547681,0.040498442367601244,0.0340632603406326,0.1653543307086614,17,2023
2155,2302.0,GAB_STE,2023-04-24,14.0,8.0,6.0,729.0,414.0,315.0,0.019204389574759947,0.01904761904761905,0.01932367149758454,0.18655692729766804,17,2023
2157,2480.0,SMI_DOU,2023-04-24,13.0,6.0,7.0,114.0,52.0,62.0,0.11403508771929824,0.11290322580645161,0.11538461538461539,0.39473684210526316,17,2023
2159,2486.0,SMI_CAN,2023-04-24,87.0,19.0,68.0,657.0,260.0,397.0,0.1324200913242009,0.1712846347607053,0.07307692307692308,0.2815829528158295,17,2023
2161,2492.0,SMI_CRO,2023-04-24,13.0,8.0,5.0,188.0,105.0,83.0,0.06914893617021277,0.060240963855421686,0.0761904761904762,0.8085106382978724,17,2023
2163,2498.0,SMI_MCC,2023-04-24,8.0,4.0,4.0,264.0,138.0,126.0,0.030303030303030304,0.031746031746031744,0.028985507246376812,0.2234848484848485,17,2023
2167,2510.0,SMI_COB,2023-04-24,46.0,32.0,14.0,245.0,187.0,58.0,0.18775510204081633,0.2413793103448276,0.1711229946524064,0.5551020408163265,17,2023
2169,2516.0,SMI_HOL,2023-04-24,12.0,9.0,3.0,352.0,226.0,126.0,0.03409090909090909,0.023809523809523808,0.03982300884955752,0.3977272727272727,17,2023
2151,2208.0,LET_NOB,2023-04-24,29.0,16.0,13.0,977.0,669.0,308.0,0.02968270214943705,0.04220779220779221,0.02391629297458894,0.038894575230296824,17,2023
2113,2160.0,KAT_HAB,2023-04-25,7.0,6.0,1.0,242.0,139.0,103.0,0.028925619834710745,0.009708737864077669,0.04316546762589928,0.09090909090909091,17,2023
2115,2162.0,KAT_HAB_2,2023-04-25,80.0,64.0,16.0,516.0,324.0,192.0,0.15503875968992248,0.08333333333333333,0.19753086419753085,0.26937984496124034,17,2023
2117,2178.0,DIP_PAT,2023-04-25,67.0,14.0,53.0,1602.0,817.0,785.0,0.041822721598002495,0.06751592356687898,0.017135862913096694,0.149812734082397,17,2023
2121,2182.0,DIP_CUR,2023-04-25,25.0,10.0,15.0,1309.0,655.0,654.0,0.019098548510313215,0.022935779816513763,0.015267175572519083,0.21848739495798317,17,2023
2119,2180.0,DIP_FLE,2023-04-25,70.0,43.0,27.0,1556.0,780.0,776.0,0.04498714652956298,0.03479381443298969,0.05512820512820513,0.38367609254498714,17,2023
2125,2522.0,SMI_HOF,2023-04-25,28.0,19.0,9.0,444.0,244.0,200.0,0.06306306306306306,0.045,0.0778688524590164,0.4594594594594595,17,2023
2127,2528.0,SMI_LAT,2023-04-25,22.0,8.0,14.0,521.0,197.0,324.0,0.04222648752399232,0.043209876543209874,0.04060913705583756,0.20345489443378117,17,2023
2129,2534.0,SMI_DUR,2023-04-25,342.0,92.0,250.0,1550.0,602.0,948.0,0.22064516129032258,0.26371308016877637,0.15282392026578073,0.4406451612903226,17,2023
2131,2540.0,SMI_JOH,2023-04-25,21.0,16.0,5.0,497.0,258.0,239.0,0.04225352112676056,0.02092050209205021,0.06201550387596899,0.31388329979879276,17,2023
2133,2546.0,SMI_JOH_2,2023-04-25,10.0,5.0,5.0,302.0,184.0,118.0,0.033112582781456956,0.0423728813559322,0.02717391304347826,0.5695364238410596,17,2023
2123,2184.0,POV_DUN,2023-04-25,11.0,6.0,5.0,275.0,185.0,90.0,0.04,0.05555555555555555,0.032432432432432434,0.6618181818181819,17,2023
