Collection Date,Country/Ocean,Farm,State/Province,Latitude,Longitude,Type of collection (select from the menu),Host plant,N° of subsample (if any),Sample weight (gr),SWD pupae,SWD,L. japonica,G. kimorum,Other parasitoids,Other drosophilid pupae,Other drosophilid,L. japonica,Other parasitoids ,Notes (if any)
26-Jun-24,USA,Haines Blueberry Farm,New Jersey,"39°46'074""N","74°45'250""W",Fruit from plant,Highbush Blueberry,,27.006,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Macrie - 206,New Jersey,"39°42'811""N","74°39'801""W",Fruit from plant,Lowbush Blueberry,,19.928,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Macrie - 206,New Jersey,"39°42'809""N","74°39'805""W",Fruit from plant,Lowbush Blueberry,,11.516,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Macrie - 206,New Jersey,"39°42'788""N","74°39'840""W",Fruit from plant,Highbush Blueberry,,30.402,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Macrie - Home,New Jersey,"39°34'937""N","74°41'844""W",Fruit from plant,American Holly,,10.958,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Macrie - Home,New Jersey,"39°34'780""N","74°41'054""W",Fruit from plant,Lowbush Blueberry,,21.144,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Macrie - Home,New Jersey,"39°34'826""N","74°41'115""W",Fruit from plant,Highbush Blueberry,,24.669,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Pastore Orchards,New Jersey,"39°41'873""N","74°44'858""W",Fruit from plant,Blackberry,,36.767,,18,0,0,0,0,0,0,0,
25-Jun-24,USA,Pastore Orchards,New Jersey,"39°41'598""N","74°43'701""W",Fruit from plant,Highbush Blueberry,,9.877,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Stoney Creek,New Jersey,"39°39'939""N","74°49'754""W",Fruit from plant,Blackberry,,36.662,,6,0,0,0,0,0,0,0,
26-Jun-24,USA,Moore's Meadows,New Jersey,"39°49'155""N","74°38'275""W",Fruit from plant,Highbush Blueberry,,30.812,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Moore's Meadows,New Jersey,"39°49'079""N","74°38'278""W",Fruit from plant,Highbush Blueberry,,27.347,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Variety - Donkey Doo,New Jersey,"39°40'126""N","74°38'310""W",Fruit from plant,Blackberry,,13.229,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Variety - Donkey Doo,New Jersey,"39°42'816""N","74°38'622""W",Fruit from plant,Highbush Blueberry,,10.896,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Variety - Donkey Doo,New Jersey,"39°42'816""N","74°38'622""W",Fruit from plant,Highbush Blueberry,,6.986,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Variety - Nesco,New Jersey,"39°39'101""N","74°38'326""W",Fruit from plant,Blackberry,,25.193,,0,0,0,0,0,0,0,0,
25-Jun-24,USA,Variety - Nesco,New Jersey,"39°35'490""N","74°38'006""W",Fruit from plant,Lowbush Blueberry,,8.402,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Whalen - Chatsworth,New Jersey,"39°42'904""N","74°44'072""W",Fruit from plant,Highbush Blueberry (D),,41.066,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Whalen - Chatsworth,New Jersey,"39°42'904""N","74°44'072""W",Fruit from plant,Highbush Blueberry,,25.687,,0,0,0,0,0,0,0,0,
26-Jun-24,USA,Whalen - Home,New Jersey,"39°34'836""N","74°45'039""W",Fruit from plant,Blackberry,,24.082,,14,0,0,0,0,0,0,0,
26-Jun-24,USA,Whalen - Home,New Jersey,"39°34'904""N","74°45'072""W",Fruit from plant,Highbush Blueberry,,14.455,,12,0,0,0,0,0,0,0,
10-Jul-24,USA,Macrie - 206,New Jersey,"39°42'255""N","74°45'716""W",Fruit from plant,Highbush Blueberry,,47.7,,0,0,0,0,0,0,0,0,
10-Jul-24,USA,Macrie - 206,New Jersey,"39°42'553""N","74°45'151""W",Fruit from plant,Huckleberry,,23.1,,1,0,0,0,0,0,0,0,
9-Jul-24,USA,Macrie - Home,New Jersey,"39°34'59""N","74°46'32""W",Fruit from plant,Highbush Blueberry,,22.8,,24,0,0,0,0,0,0,0,
9-Jul-24,USA,Macrie - Home,New Jersey,"39°34'59""N","74°46'32""W",Fruit from plant,Highbush Blueberry,,44.8,,73,0,0,0,0,0,0,0,
9-Jul-24,USA,Macrie - Home,New Jersey,"39°34'56""N","74°46'28""W",Fruit from plant,Highbush Blueberry,,17.4,,0,0,0,0,0,0,0,0,
10-Jul-24,USA,Moore's Meadows,New Jersey,"39°49'138""N","74°38'289""W",Fruit from plant,Huckleberry,,9,,0,0,0,0,0,0,0,0,
10-Jul-24,USA,Moore's Meadows,New Jersey,"39°49'091""N","74°38'296""W",Fruit from plant,Highbush Blueberry,,41.4,,0,0,0,0,0,0,0,0,
9-Jul-24,USA,ABC - Home,New Jersey,"39°33'31""N","74°46'36""W",Fruit from plant,Huckleberry,,10.5,,12,0,0,0,0,0,0,0,
9-Jul-24,USA,ABC - Home,New Jersey,"39°33'46""N","74°46'60""W",Fruit from plant,Highbush Blueberry,,35.6,,0,0,0,0,0,0,0,0,
9-Jul-24,USA,ABC - Home,New Jersey,"39°33'42""N","74°46'58""W",Fruit from plant,Huckleberry,,37.7,,0,0,0,0,0,0,0,0,
9-Jul-24,USA,ABC-Mays Landing,New Jersey,"39°29'13""N","74°44'20""W",Fruit from plant,Highbush Blueberry,,19.6,,2,0,0,0,0,0,0,0,
9-Jul-24,USA,ABC-Mays Landing,New Jersey,"39°29'15""N","74°44'20""W",Fruit from plant,Highbush Blueberry,,19.6,,4,0,0,0,0,0,0,0,
10-Jul-24,USA,Fred Miller,New Jersey,"39°47'674""N","74°47'108""W",Fruit from plant,Dangleberry,,36.2,,26,0,0,0,0,0,0,0,
