Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_13,VALUE_21,VALUE_23,VALUE_24,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_216,VALUE_219,VALUE_220,VALUE_221,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_242,VALUE_243,VALUE_244
DEG_DIE_SWC,,,,,,"-1","0","0",,,"7202","0","956","0","14","0","3","0","33","0","3","31","0","0","2834","5265","0","0","11","0","0","0","0","0","0","0","0","0","12","0","23","0","0","6","6","5","0","69","2562","972","396","81","46","24136","608","1614","50","9545","1132","58","0","0","0","0","0","0","0","0","0","0","3","0","0"
DEG_YOU_BOCES,,,,,,"-1","0","0",,,"5430","3","1147","0","29","0","0","0","49","0","0","46","0","0","3057","2435","0","0","6","0","0","0","0","0","0","0","0","0","9","0","25","0","0","0","8","8","2","132","5284","7541","6537","2083","99","12403","435","1028","67","8823","854","82","4","0","0","0","0","3","0","0","0","0","15","0","0"
DEG_YOU_OSHEA,,,,,,"-1","0","0",,,"8285","10","914","0","5","0","0","0","160","0","3","56","0","0","4897","3003","0","0","5","0","0","0","0","0","0","0","0","0","15","0","34","0","0","4","3","8","3","1135","4861","5201","2370","387","146","13594","404","1111","72","9502","1396","103","2","0","0","0","0","0","0","0","0","1","5","0","0"
DEG_YOU_JONES,,,,,,"-1","0","0",,,"6884","14","341","0","19","0","10","0","137","0","3","258","0","0","4503","4323","0","0","8","0","4","0","0","0","0","0","0","0","19","0","37","0","0","2","0","4","5","2177","2387","1781","456","43","128","21491","997","2074","45","8206","1131","140","1","0","0","0","0","0","0","101","24","0","6","0","0"
DEG_VIL,,,,,,"-1","0","0",,,"6377","16","345","0","22","0","10","0","24","0","3","217","0","0","4692","4176","0","0","8","0","0","0","0","0","0","0","0","0","21","0","40","0","0","2","0","4","9","2092","2127","1749","438","40","131","22695","643","2228","53","8201","1141","141","3","0","0","0","0","0","0","101","24","0","6","0","0"
SEA_HOO,,,,,,"-1","0","0",,,"15595","0","6901","0","12","0","2","0","5294","0","7","77","2","1","8760","2137","3","4","161","13","3","0","0","0","2","0","4","0","1322","8","100","0","0","23","781","9","0","49","2524","775","306","43","19","5122","323","1220","5","5167","784","46","25","0","0","0","0","0","0","0","9","2","0","16","0"
MIL_HUM,,,,,,"-1","0","0",,,"7048","0","4070","0","0","0","0","0","994","0","0","12","0","0","2454","1544","5","0","353","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","7","6004","4726","750","121","0","17617","1086","2441","39","8043","1116","9","1","0","0","0","0","0","0","0","0","0","0","0","0"
ONE_TER,,,,,,"-1","0","0",,,"5335","26","93","0","0","0","2","0","3","0","38","4","0","0","2209","2906","0","0","1","0","0","0","0","0","0","0","0","0","4","0","163","0","0","0","0","0","2","1342","6164","4300","3274","1025","56","11037","1486","334","49","14864","6602","227","0","0","0","0","0","0","0","0","0","0","0","0","0"
ONE_ADO,,,,,,"-1","0","0",,,"2146","3","101","0","1","0","8","0","8","0","2","25","0","0","1078","2208","0","0","4","0","0","0","0","0","0","0","0","5","3","0","206","0","0","0","2","0","0","849","4392","783","432","88","202","27015","7109","895","137","5964","7788","176","13","0","0","0","0","0","0","0","0","0","0","0","0"
ONE_STA,,,,,,"-1","0","0",,,"15407","1","33","0","2","0","0","0","0","0","6","6","0","0","3361","2540","14","0","8","0","0","0","0","0","0","0","0","4","14","0","59","0","0","3","2","0","0","21","2249","693","368","166","42","22353","1707","853","97","4438","7402","84","0","0","0","0","0","0","0","0","0","0","0","0","0"
